Hotel Name,Hotel URL,Room type,Number of guests,Price for 5 nights,Your choices
Glow Pyramids View Hotel,https://www.booking.com/hotel/eg/glow-pyramids-view-al-haram.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403779&all_sr_blocks=1584825004_429607787_3_41_0&highlighted_blocks=1584825004_429607787_3_41_0&matching_block_id=1584825004_429607787_3_41_0&sr_pri_blocks=1584825004_429607787_3_41_0__14000&from=searchresults,Deluxe Triple Room We have 5 left 1 twin bed and 1 queen bed 30 m² Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi Free toiletries Bathrobe Bidet Washing machine Toilet Bathtub or shower Towels Linens Desk Suit press TV Slippers Refrigerator Tea/Coffee maker Iron Microwave Heating Hairdryer Fan Carpeted Electric kettle Wake-up service Wardrobe or closet Oven Stovetop Toaster Dining area Dining table Clothes rack Toilet paper Sofa bed Hand sanitizer | Deluxe Triple Room | We have 5 left | 1 twin bed and 1 queen bed | 1 twin bed and | 1 twin bed | 1 queen bed | 30 m² Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi Free toiletries Bathrobe Bidet Washing machine Toilet Bathtub or shower Towels Linens Desk Suit press TV Slippers Refrigerator Tea/Coffee maker Iron Microwave Heating Hairdryer Fan Carpeted Electric kettle Wake-up service Wardrobe or closet Oven Stovetop Toaster Dining area Dining table Clothes rack Toilet paper Sofa bed Hand sanitizer | 30 m² Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi | 30 m² | Air conditioning | Attached bathroom | Dishwasher | Flat-screen TV | Minibar | Free Wifi | Free toiletries Bathrobe Bidet Washing machine Toilet Bathtub or shower Towels Linens Desk Suit press TV Slippers Refrigerator Tea/Coffee maker Iron Microwave Heating Hairdryer Fan Carpeted Electric kettle Wake-up service Wardrobe or closet Oven Stovetop Toaster Dining area Dining table Clothes rack Toilet paper Sofa bed Hand sanitizer | Free toiletries | Bathrobe | Bidet | Washing machine | Toilet | Bathtub or shower | Towels | Linens | Desk | Suit press | TV | Slippers | Refrigerator | Tea/Coffee maker | Iron | Microwave | Heating | Hairdryer | Fan | Carpeted | Electric kettle | Wake-up service | Wardrobe or closet | Oven | Stovetop | Toaster | Dining area | Dining table | Clothes rack | Toilet paper | Sofa bed | Hand sanitizer,N/A,"EGP 25,833",N/A
Glow Pyramids View Hotel,https://www.booking.com/hotel/eg/glow-pyramids-view-al-haram.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403779&all_sr_blocks=1584825004_429607787_3_41_0&highlighted_blocks=1584825004_429607787_3_41_0&matching_block_id=1584825004_429607787_3_41_0&sr_pri_blocks=1584825004_429607787_3_41_0__14000&from=searchresults,N/A,Max. people: 1,"EGP 26,866 | EGP 28,785 | EGP 34,542 | EGP 40,299",N/A
Glow Pyramids View Hotel,https://www.booking.com/hotel/eg/glow-pyramids-view-al-haram.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403779&all_sr_blocks=1584825004_429607787_3_41_0&highlighted_blocks=1584825004_429607787_3_41_0&matching_block_id=1584825004_429607787_3_41_0&sr_pri_blocks=1584825004_429607787_3_41_0__14000&from=searchresults,Triple Room with Balcony We have 2 left 3 twin beds 30 m² Balcony Garden view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi More | Triple Room with Balcony | We have 2 left | 3 twin beds | 30 m² Balcony Garden view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi More | 30 m² Balcony Garden view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi | 30 m² | Balcony | Garden view | Air conditioning | Attached bathroom | Dishwasher | Flat-screen TV | Minibar | Free Wifi | More,N/A,"EGP 27,678",N/A
Glow Pyramids View Hotel,https://www.booking.com/hotel/eg/glow-pyramids-view-al-haram.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403779&all_sr_blocks=1584825004_429607787_3_41_0&highlighted_blocks=1584825004_429607787_3_41_0&matching_block_id=1584825004_429607787_3_41_0&sr_pri_blocks=1584825004_429607787_3_41_0__14000&from=searchresults,Triple Room with Mountain View We have 5 left 1 twin bed and 1 queen bed 25 m² Garden view Mountain view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi More | Triple Room with Mountain View | We have 5 left | 1 twin bed and 1 queen bed | 1 twin bed and | 1 twin bed | 1 queen bed | 25 m² Garden view Mountain view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi More | 25 m² Garden view Mountain view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi | 25 m² | Garden view | Mountain view | Air conditioning | Attached bathroom | Dishwasher | Flat-screen TV | Minibar | Free Wifi | More,N/A,"EGP 33,214",N/A
Glow Pyramids View Hotel,https://www.booking.com/hotel/eg/glow-pyramids-view-al-haram.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403779&all_sr_blocks=1584825004_429607787_3_41_0&highlighted_blocks=1584825004_429607787_3_41_0&matching_block_id=1584825004_429607787_3_41_0&sr_pri_blocks=1584825004_429607787_3_41_0__14000&from=searchresults,Quadruple Room with Mountain View We have 2 left 2 queen beds 40 m² Garden view Mountain view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi More | Quadruple Room with Mountain View | We have 2 left | 2 queen beds | 40 m² Garden view Mountain view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi More | 40 m² Garden view Mountain view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi | 40 m² | Garden view | Mountain view | Air conditioning | Attached bathroom | Dishwasher | Flat-screen TV | Minibar | Free Wifi | More,N/A,"EGP 38,749",N/A
Alivia Scarab Pyramids View,https://www.booking.com/hotel/eg/alivia-pyramids-view.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403779&all_sr_blocks=1592012801_430268712_2_41_0&highlighted_blocks=1592012801_430268712_2_41_0&matching_block_id=1592012801_430268712_2_41_0&sr_pri_blocks=1592012801_430268712_2_41_0__7425&from=searchresults,Triple Room with Mountain View We have 3 left 1 twin bed and 1 king bed 25 m² Mountain view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi Free toiletries Bathrobe Safe Bidet Toilet Bathtub or shower Towels Linens Desk Suit press TV Slippers Refrigerator Tea/Coffee maker Iron Microwave Heating Hairdryer Fan Towels/Sheets (extra fee) Carpeted Electric kettle Wake-up service Wardrobe or closet Oven Toaster Dining area Dining table Clothes rack Toilet paper Sofa bed Hand sanitizer | Triple Room with Mountain View | We have 3 left | 1 twin bed and 1 king bed | 1 twin bed and | 1 twin bed | 1 king bed | 25 m² Mountain view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi Free toiletries Bathrobe Safe Bidet Toilet Bathtub or shower Towels Linens Desk Suit press TV Slippers Refrigerator Tea/Coffee maker Iron Microwave Heating Hairdryer Fan Towels/Sheets (extra fee) Carpeted Electric kettle Wake-up service Wardrobe or closet Oven Toaster Dining area Dining table Clothes rack Toilet paper Sofa bed Hand sanitizer | 25 m² Mountain view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi | 25 m² | Mountain view | Air conditioning | Attached bathroom | Dishwasher | Flat-screen TV | Minibar | Free Wifi | Free toiletries Bathrobe Safe Bidet Toilet Bathtub or shower Towels Linens Desk Suit press TV Slippers Refrigerator Tea/Coffee maker Iron Microwave Heating Hairdryer Fan Towels/Sheets (extra fee) Carpeted Electric kettle Wake-up service Wardrobe or closet Oven Toaster Dining area Dining table Clothes rack Toilet paper Sofa bed Hand sanitizer | Free toiletries | Bathrobe | Safe | Bidet | Toilet | Bathtub or shower | Towels | Linens | Desk | Suit press | TV | Slippers | Refrigerator | Tea/Coffee maker | Iron | Microwave | Heating | Hairdryer | Fan | Towels/Sheets (extra fee) | Carpeted | Electric kettle | Wake-up service | Wardrobe or closet | Oven | Toaster | Dining area | Dining table | Clothes rack | Toilet paper | Sofa bed | Hand sanitizer,N/A,"EGP 3,914",N/A
Alivia Scarab Pyramids View,https://www.booking.com/hotel/eg/alivia-pyramids-view.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403779&all_sr_blocks=1592012801_430268712_2_41_0&highlighted_blocks=1592012801_430268712_2_41_0&matching_block_id=1592012801_430268712_2_41_0&sr_pri_blocks=1592012801_430268712_2_41_0__7425&from=searchresults,N/A,Max. people: 1,"EGP 3,480 | EGP 4,428",N/A
Alivia Scarab Pyramids View,https://www.booking.com/hotel/eg/alivia-pyramids-view.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403779&all_sr_blocks=1592012801_430268712_2_41_0&highlighted_blocks=1592012801_430268712_2_41_0&matching_block_id=1592012801_430268712_2_41_0&sr_pri_blocks=1592012801_430268712_2_41_0__7425&from=searchresults,Deluxe Quadruple Room 2 queen beds 30 m² Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi More | Deluxe Quadruple Room | 2 queen beds | 30 m² Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi More | 30 m² Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi | 30 m² | Air conditioning | Attached bathroom | Dishwasher | Flat-screen TV | Minibar | Free Wifi | More,Max. people: 2,"EGP 4,033","Continental breakfast included Free cancellation before 6:00 PM on July 10, 2026 No prepayment needed – pay at the property No credit card needed discount may be available • We have 6 left | Continental breakfast included | Free cancellation before 6:00 PM on July 10, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed | No credit card needed | discount may be available | • We have 6 left | • | We have 6 left"
Alivia Scarab Pyramids View,https://www.booking.com/hotel/eg/alivia-pyramids-view.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403779&all_sr_blocks=1592012801_430268712_2_41_0&highlighted_blocks=1592012801_430268712_2_41_0&matching_block_id=1592012801_430268712_2_41_0&sr_pri_blocks=1592012801_430268712_2_41_0__7425&from=searchresults,Quadruple Room with Mountain View We have 6 left 2 queen beds 35 m² Mountain view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi More | Quadruple Room with Mountain View | We have 6 left | 2 queen beds | 35 m² Mountain view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi More | 35 m² Mountain view Air conditioning Attached bathroom Dishwasher Flat-screen TV Minibar Free Wifi | 35 m² | Mountain view | Air conditioning | Attached bathroom | Dishwasher | Flat-screen TV | Minibar | Free Wifi | More,N/A,"EGP 4,705",N/A
Hilton Cairo Grand Nile,https://www.booking.com/hotel/eg/grand-nile-tower.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403775&all_sr_blocks=34835850_404461051_2_2_0&highlighted_blocks=34835850_404461051_2_2_0&matching_block_id=34835850_404461051_2_2_0&sr_pri_blocks=34835850_404461051_2_2_0__51000&from_sustainable_property_sr=1&from=searchresults,Twin Guest room with Nile View 2 twin beds 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi Free toiletries Shower Bathrobe Safe Bidet Toilet Towels Desk TV Internet facilities Slippers Telephone Ironing facilities Satellite channels Tea/Coffee maker Iron Hairdryer Kitchenware Wake-up service/Alarm clock Electric kettle Wake-up service Alarm clock Wardrobe or closet Clothes rack Toilet paper | Twin Guest room with Nile View | 2 twin beds | 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi Free toiletries Shower Bathrobe Safe Bidet Toilet Towels Desk TV Internet facilities Slippers Telephone Ironing facilities Satellite channels Tea/Coffee maker Iron Hairdryer Kitchenware Wake-up service/Alarm clock Electric kettle Wake-up service Alarm clock Wardrobe or closet Clothes rack Toilet paper | 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi | 1 room | 34 m² | Balcony | Sea view | Air conditioning | Attached bathroom | Flat-screen TV | Minibar | Free Wifi | Free toiletries Shower Bathrobe Safe Bidet Toilet Towels Desk TV Internet facilities Slippers Telephone Ironing facilities Satellite channels Tea/Coffee maker Iron Hairdryer Kitchenware Wake-up service/Alarm clock Electric kettle Wake-up service Alarm clock Wardrobe or closet Clothes rack Toilet paper | Free toiletries | Shower | Bathrobe | Safe | Bidet | Toilet | Towels | Desk | TV | Internet facilities | Slippers | Telephone | Ironing facilities | Satellite channels | Tea/Coffee maker | Iron | Hairdryer | Kitchenware | Wake-up service/Alarm clock | Electric kettle | Wake-up service | Alarm clock | Wardrobe or closet | Clothes rack | Toilet paper,N/A,"EGP 26,887",N/A
Hilton Cairo Grand Nile,https://www.booking.com/hotel/eg/grand-nile-tower.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403775&all_sr_blocks=34835850_404461051_2_2_0&highlighted_blocks=34835850_404461051_2_2_0&matching_block_id=34835850_404461051_2_2_0&sr_pri_blocks=34835850_404461051_2_2_0__51000&from_sustainable_property_sr=1&from=searchresults,N/A,Max. people: 1,"EGP 33,609 | EGP 44,285 | EGP 30,248 | EGP 34,795 | EGP 36,970 | EGP 47,448 | EGP 37,958 | EGP 38,090 | EGP 48,502 | EGP 34,729 | EGP 39,013 | EGP 42,571 | EGP 52,720 | EGP 39,210 | EGP 43,230 | EGP 56,015 | EGP 65,373 | EGP 52,654 | EGP 55,883 | EGP 58,256 | EGP 67,482 | EGP 54,895 | EGP 57,992 | EGP 229,859 | EGP 220,370 | EGP 642,130",N/A
Hilton Cairo Grand Nile,https://www.booking.com/hotel/eg/grand-nile-tower.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403775&all_sr_blocks=34835850_404461051_2_2_0&highlighted_blocks=34835850_404461051_2_2_0&matching_block_id=34835850_404461051_2_2_0&sr_pri_blocks=34835850_404461051_2_2_0__51000&from_sustainable_property_sr=1&from=searchresults,King Guest room with Nile View 1 king bed 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | King Guest room with Nile View | 1 king bed | 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi | 1 room | 34 m² | Balcony | Sea view | Air conditioning | Attached bathroom | Flat-screen TV | Minibar | Free Wifi | More,N/A,"EGP 26,887",N/A
Hilton Cairo Grand Nile,https://www.booking.com/hotel/eg/grand-nile-tower.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403775&all_sr_blocks=34835850_404461051_2_2_0&highlighted_blocks=34835850_404461051_2_2_0&matching_block_id=34835850_404461051_2_2_0&sr_pri_blocks=34835850_404461051_2_2_0__51000&from_sustainable_property_sr=1&from=searchresults,King Guest Room with Nile View - High Floor 1 king bed 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | King Guest Room with Nile View - High Floor | 1 king bed | 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi | 1 room | 34 m² | Balcony | Sea view | Air conditioning | Attached bathroom | Flat-screen TV | Minibar | Free Wifi | More,N/A,"EGP 30,248",N/A
Hilton Cairo Grand Nile,https://www.booking.com/hotel/eg/grand-nile-tower.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403775&all_sr_blocks=34835850_404461051_2_2_0&highlighted_blocks=34835850_404461051_2_2_0&matching_block_id=34835850_404461051_2_2_0&sr_pri_blocks=34835850_404461051_2_2_0__51000&from_sustainable_property_sr=1&from=searchresults,Twin Guest Room - Nile View - High Floor 2 twin beds 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | Twin Guest Room - Nile View - High Floor | 2 twin beds | 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi | 1 room | 34 m² | Balcony | Sea view | Air conditioning | Attached bathroom | Flat-screen TV | Minibar | Free Wifi | More,N/A,"EGP 30,248",N/A
Hilton Cairo Grand Nile,https://www.booking.com/hotel/eg/grand-nile-tower.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403775&all_sr_blocks=34835850_404461051_2_2_0&highlighted_blocks=34835850_404461051_2_2_0&matching_block_id=34835850_404461051_2_2_0&sr_pri_blocks=34835850_404461051_2_2_0__51000&from_sustainable_property_sr=1&from=searchresults,King Corner Guest Room - Nile View 1 king bed 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | King Corner Guest Room - Nile View | 1 king bed | 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | 1 room 34 m² Balcony Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi | 1 room | 34 m² | Balcony | Sea view | Air conditioning | Attached bathroom | Flat-screen TV | Minibar | Free Wifi | More,N/A,"EGP 31,368",N/A
Hilton Cairo Grand Nile,https://www.booking.com/hotel/eg/grand-nile-tower.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403775&all_sr_blocks=34835850_404461051_2_2_0&highlighted_blocks=34835850_404461051_2_2_0&matching_block_id=34835850_404461051_2_2_0&sr_pri_blocks=34835850_404461051_2_2_0__51000&from_sustainable_property_sr=1&from=searchresults,King Executive Room with Nile View 1 king bed 1 room 34 m² Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | King Executive Room with Nile View | 1 king bed | 1 room 34 m² Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | 1 room 34 m² Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi | 1 room | 34 m² | Sea view | Air conditioning | Attached bathroom | Flat-screen TV | Minibar | Free Wifi | More,N/A,"EGP 35,850",N/A
Hilton Cairo Grand Nile,https://www.booking.com/hotel/eg/grand-nile-tower.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCvZOB0AbAAgHSAiRhZTU2NGNkNC0yMjlhLTQ0OGQtODMwYS00YTM4ZGYzYmEyMzDYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b1e63f9e459208e3&srepoch=1778403775&all_sr_blocks=34835850_404461051_2_2_0&highlighted_blocks=34835850_404461051_2_2_0&matching_block_id=34835850_404461051_2_2_0&sr_pri_blocks=34835850_404461051_2_2_0__51000&from_sustainable_property_sr=1&from=searchresults,Twin Executive Room with Nile View 2 twin beds 1 room 34 m² Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | Twin Executive Room with Nile View | 2 twin beds | 1 room 34 m² Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | 1 room 34 m² Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi | 1 room | 34 m² | Sea view | Air conditioning | Attached bathroom | Flat-screen TV | Minibar | Free Wifi | More,N/A,"EGP 35,850",N/A
